id,task_str,file,mean_accuracy,median_accuracy,p80_accuracy,mean_precision,median_precision,p80_precision
101wy,fv,D:\python_projects\smartphone_psychiatry_assement\depression_symptom_detection\raw_data\validation\101wy_FVTask\2024_09_23_17_13_35.txt,3.0022385220691485,3.1072830356409753,3.683187042651888,0.14601372654679654,0.130027820922532,0.19133164784795184
100fwh,fv,D:\python_projects\smartphone_psychiatry_assement\depression_symptom_detection\raw_data\validation\100fwh_FVTask\2024_09_23_16_44_54.txt,0.8540041034115889,0.7064645293155526,1.5018645091590175,0.16463487679847055,0.13460841339172863,0.21926953319847164
102jxy,fv,D:\python_projects\smartphone_psychiatry_assement\depression_symptom_detection\raw_data\validation\102jxy_FVTask\2024_09_24_15_20_41.txt,0.5153409997095288,0.4465836856249825,0.8005322161401469,0.1126042505043633,0.09276862600184771,0.13887929583591066
103wjr,fv,D:\python_projects\smartphone_psychiatry_assement\depression_symptom_detection\raw_data\validation\103wjr_FVTask\2024_09_24_17_23_54.txt,3.0609294067561774,3.239682360233205,3.4674301601806006,0.1030614248277799,0.1009821649731963,0.1455730624192404
104lxt,fv,D:\python_projects\smartphone_psychiatry_assement\depression_symptom_detection\raw_data\validation\104lxt_FVTask\2024_09_25_14_19_05.txt,1.38458648388596,1.294461692745922,1.8955502365123125,0.13245191670042003,0.09343522478879739,0.1906941842520794
106fh,fv,D:\python_projects\smartphone_psychiatry_assement\depression_symptom_detection\raw_data\validation\106fh_FVTask\2024_09_25_15_29_16.txt,0.7714439551983178,0.6342140546269257,1.4854724981982694,0.11762389090609644,0.1279786502609781,0.16025137166753953
105lzy,fv,D:\python_projects\smartphone_psychiatry_assement\depression_symptom_detection\raw_data\validation\105lzy_FVTask\2024_09_25_14_49_02.txt,1.785696135205817,1.8050492054315923,2.3901242427949736,0.14808488167276576,0.13625904233465141,0.15025610668734565
107nzj,fv,D:\python_projects\smartphone_psychiatry_assement\depression_symptom_detection\raw_data\validation\107nzj_FVTask\2024_09_25_16_36_53.txt,1.321362599622664,1.2997697592792576,1.7228777451866537,0.09552042578323006,0.07347596744780042,0.13772505573318672
10zjy,fv,D:\python_projects\smartphone_psychiatry_assement\depression_symptom_detection\raw_data\validation\10zjy_FVTask\2024_11_15_11_44_18.txt,1.3162230132156576,1.179668194702898,1.9324699029246741,0.08758741988890371,0.07819534036902576,0.10627303823492001
10lby,fv,D:\python_projects\smartphone_psychiatry_assement\depression_symptom_detection\raw_data\validation\10LBY_FVTask\2024_06_14_15_03_47.txt,4.689284087835727,5.04866674410707,5.936675805176569,0.1855388682667489,0.13194952526571746,0.16687566483203584
